Image 0| Score: -1.8844 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 1| Score: -0.6117 | Improved by Teacher| An airplane with two propellor engines flying in the sky.
Image 2| Score: -1.3522 | Improved by Teacher| Four cows in a pen on a sunny day 
Image 3| Score: -1.8702 | Improved by Teacher| Three dogs sleeping together on an unmade bed
Image 4| Score: -0.8544 | Improved by Teacher| A baseball card with an old school player.
Image 5| Score: -1.7236 | Improved by Teacher| A woman holding a cake is looking at an excited child in a high chair. 
Image 6| Score: -0.7415 | Improved by Teacher| A dish on a counter containing beef and broccoli.
Image 7| Score: -0.7971 | Improved by Teacher| A big rig is driving through a construction site. 
Image 8| Score: -1.0918 | Improved by Teacher| A boy wearing an orange t-shirt playing a video game while sitting on a couch.
Image 9| Score: -2.0137 | Improved by Teacher| a woman holding a frisbee standing net to table and chairs.
Image 10| Score: -0.7160 | Improved by Teacher| A busy street with a streetlight and lots of cars.
Image 11| Score: -2.0641 | Improved by Teacher| This is a computer monitor, keyboard, and mouse.
Image 12| Score: -0.8596 | Improved by Teacher| a plate with  a sandwich, fires, and coleslaw sitting side by side
Image 13| Score: -0.5306 | Improved by Teacher| A man standing near an extended tour bus parked in a parking lot.
Image 14| Score: -0.2608 | Improved by Teacher| A room in a private house for loosening up and institutionalizing.
Image 15| Score: -0.7682 | Improved by Teacher| A bathroom with a white toilet and shower
Image 16| Score: -1.7456 | Improved by Teacher| A plate filled with a serving of food to be eaten
Image 17| Score: -0.8537 | Improved by Teacher| A bunch of cows caged in at a factory
Image 18| Score: -1.3853 | Improved by Teacher| A young lady is on her phone as a lady in the background looks on. 
Image 19| Score: -0.9223 | Improved by Teacher| a toilet with the toilet seat left up and the sink next to it
Image 20| Score: -1.8671 | Improved by Teacher| The white fridge stands alone in its own space.
Image 21| Score: -0.3209 | Improved by Teacher| A cartoon character standing on the beach by a surf boards standing in the sand.
Image 22| Score: -1.0859 | Improved by Teacher| A snowboarder headed down a hill in front of trees.
Image 23| Score: -1.1775 | Improved by Teacher| A woman and two dogs are skiing in snow.
Image 24| Score: -2.2180 | Improved by Teacher| Two people walking in the ocean away from a boat. 
Image 25| Score: -1.0954 | Improved by Teacher| A dog sleeps on the ground in someones bedroom.
Image 26| Score: -0.8942 | Improved by Teacher| A boys skateboarding is about to slide on a pole.
Image 27| Score: -0.7610 | Improved by Teacher| A tennis match in progress with one of the contestants throwing the ball into the air getting ready to serve.
Image 28| Score: -1.5738 | Improved by Teacher| Three zebras eating hay from a trough at the zoo.
Image 29| Score: -0.8257 | Improved by Teacher| A woman sitting on a bench overlooking a body of water.
Image 30| Score: -1.0598 | Improved by Teacher| A man riding a horse next to another man on a horse.
Image 31| Score: -1.4051 | Improved by Teacher| a tray of food on a wooden table with bread, carrots, sauce, nuts and a muffin.
Image 32| Score: -1.1194 | Improved by Teacher| a blue motorcycle is standing out in the open
Image 33| Score: -0.3232 | Improved by Teacher| A big furry black and white cat is sitting on top of a leather suitcase.
Image 34| Score: -1.0115 | Improved by Teacher| A person flying a kite at the beach with another person.
Image 35| Score: -1.8707 | Improved by Teacher| Woman bent slightly on skis wearing goggles and snowsuit.
Image 36| Score: -0.6606 | Improved by Teacher| A bed that has a large painting behind it.
Image 37| Score: -1.0768 | Improved by Teacher| A small pizza on a plate with a fork beside it on a table.
Image 38| Score: -0.7373 | Improved by Teacher| A plate of food that includes rice and various vegetables.
Image 39| Score: -0.5489 | Improved by Teacher| A bearded man in a wetsuit holding a surfboard. 
Image 40| Score: -0.4868 | Improved by Teacher| A young man holding a walkie talkie while wearing an orange shirt.
Image 41| Score: -0.5856 | Improved by Teacher| A man smiles while holding a wine glass
Image 42| Score: -1.1401 | Improved by Teacher| a stop sign and no outlet sign by a snowy mountain
Image 43| Score: -1.7111 | Improved by Teacher| A women who is holding up a cell phone.
Image 44| Score: -0.9021 | Improved by Teacher| A tray of scissors is on a table with a lamp and candles.
Image 45| Score: -1.1377 | Improved by Teacher| a man looking at a cell phone with a magnifying lens
Image 46| Score: -2.2148 | Improved by Teacher| Jet airplane in flight landing gear extended down
Image 47| Score: -0.9582 | Improved by Teacher| A man is looking through a selection of ties.
Image 48| Score: -0.8351 | Improved by Teacher| A may laying in on a bed with his right breasteses hanging out.
Image 49| Score: -2.0881 | Improved by Teacher| Various fruits and vegetables are on display close together.
Image 50| Score: -0.5669 | Improved by Teacher| A kitchen filled with a wooden cabinet and a large window.
Image 51| Score: -0.8195 | Improved by Teacher| A boy is walking with a wet suit and carrying his surf board under his arm.
Image 52| Score: -1.0773 | Improved by Teacher| A sculpture of iron standing in front of a tall white building.
Image 53| Score: -0.3784 | Improved by Teacher| A double deck bus that is next to a building.
Image 54| Score: -2.1146 | Improved by Teacher| Two donuts, banana, cup and a book on the table.
Image 55| Score: -1.6019 | Improved by Teacher| A container with three sections, each containing different fruits and vegetables.
Image 56| Score: -1.1618 | Improved by Teacher| A plate with hot dogs and cherry tomatoes 
