Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 1| Score: 0.9057 | Kept from Student| An airplane with two propellor engines flying in the sky.
Image 2| Score: -1.3804 | Improved by Teacher| Four cows in a pen on a sunny day 
Image 3| Score: 0.8116 | Kept from Student| Three dogs sleeping together on an unmade bed
Image 4| Score: 0.4441 | Improved by Teacher| A baseball card with an old school player.
Image 5| Score: -0.3903 | Improved by Teacher| A woman holding a cake is looking at an excited child in a high chair. 
Image 6| Score: 0.2246 | Improved by Teacher| A dish on a counter containing beef and broccoli.
Image 7| Score: -0.2544 | Improved by Teacher| A big rig is driving through a construction site. 
Image 8| Score: 1.8455 | Kept from Student| A boy wearing an orange t-shirt playing a video game while sitting on a couch.
Image 9| Score: -0.0904 | Improved by Teacher| a woman holding a frisbee standing net to table and chairs.
Image 10| Score: 0.6564 | Kept from Student| A busy street with a streetlight and lots of cars.
Image 11| Score: 0.9816 | Kept from Student| This is a computer monitor, keyboard, and mouse.
Image 12| Score: 0.2035 | Improved by Teacher| a plate with  a sandwich, fires, and coleslaw sitting side by side
Image 13| Score: 0.6373 | Kept from Student| A man standing near an extended tour bus parked in a parking lot.
Image 14| Score: -0.7922 | Improved by Teacher| A room in a private house for loosening up and institutionalizing.
Image 15| Score: 0.0869 | Improved by Teacher| A bathroom with a white toilet and shower
Image 16| Score: 0.4200 | Improved by Teacher| A plate filled with a serving of food to be eaten
Image 17| Score: 0.2584 | Improved by Teacher| A bunch of cows caged in at a factory
Image 18| Score: -0.3968 | Improved by Teacher| A young lady is on her phone as a lady in the background looks on. 
Image 19| Score: 0.3866 | Improved by Teacher| a toilet with the toilet seat left up and the sink next to it
Image 20| Score: 0.8758 | Kept from Student| The white fridge stands alone in its own space.
Image 21| Score: -0.3261 | Improved by Teacher| A cartoon character standing on the beach by a surf boards standing in the sand.
Image 22| Score: -0.1785 | Improved by Teacher| A snowboarder headed down a hill in front of trees.
Image 23| Score: 1.3707 | Kept from Student| A woman and two dogs are skiing in snow.
Image 24| Score: -0.0104 | Improved by Teacher| Two people walking in the ocean away from a boat. 
Image 25| Score: -0.4555 | Improved by Teacher| A dog sleeps on the ground in someones bedroom.
Image 26| Score: 0.5721 | Improved by Teacher| A boys skateboarding is about to slide on a pole.
Image 27| Score: -0.0981 | Improved by Teacher| A tennis match in progress with one of the contestants throwing the ball into the air getting ready to serve.
Image 28| Score: -0.1523 | Improved by Teacher| Three zebras eating hay from a trough at the zoo.
Image 29| Score: 1.8412 | Kept from Student| A woman sitting on a bench overlooking a body of water.
Image 30| Score: -0.3269 | Improved by Teacher| A man riding a horse next to another man on a horse.
Image 31| Score: 0.7888 | Kept from Student| a tray of food on a wooden table with bread, carrots, sauce, nuts and a muffin.
Image 32| Score: 0.6387 | Kept from Student| a blue motorcycle is standing out in the open
